TEAM1,TEAM2
Auburn,Alabama St.
Louisville,Creighton
Michigan,UC San Diego
Texas A&M,Yale
Mississippi,North Carolina
Iowa St.,Lipscomb
Marquette,New Mexico
Michigan St.,Bryant
Florida,Norfolk St.
Connecticut,Oklahoma
Memphis,Colorado St.
Maryland,Grand Canyon
Missouri,Drake
Texas Tech,UNC Wilmington
Kansas,Arkansas
St. John's,Nebraska Omaha
Duke,American
Mississippi St.,Baylor
Oregon,Liberty
Arizona,Akron
BYU,VCU
Wisconsin,Montana
Saint Mary's,Vanderbilt
Alabama,Robert Morris
Houston,SIU Edwardsville
Gonzaga,Georgia
Clemson,McNeese St.
Purdue,High Point
Illinois,Xavier
Kentucky,Troy
UCLA,Utah St.
Tennessee,Wofford
